num_episodes;mean_final_episode_reward;training_index
0;540;0
1;-112;0
2;-28;0
3;1;0
4;603;0
5;-325;0
6;-289;0
7;-324;0
8;-94;0
9;709;0
10;703;0
11;471;0
12;-369;0
13;710;0
14;-284;0
15;613;0
16;-164;0
17;-189;0
18;70;0
19;-104;0
20;541;0
21;193;0
22;707;0
23;387;0
24;590;0
25;-200;0
26;590;0
27;-62;0
28;-457;0
29;-125;0
30;541;0
31;695;0
32;-68;0
33;-36;0
34;127;0
35;522;0
36;-340;0
37;-239;0
38;536;0
39;-404;0
40;-345;0
41;-544;0
42;946;0
43;-65;0
44;805;0
45;607;0
46;-130;0
47;-185;0
48;-223;0
49;63;0
50;175;0
51;103;0
52;-49;0
53;870;0
54;-157;0
55;-137;0
56;651;0
57;656;0
58;772;0
59;-172;0
60;977;0
61;769;0
62;739;0
63;300;0
64;798;0
65;850;0
66;-411;0
67;286;0
68;-307;0
69;30;0
70;647;0
71;-176;0
72;624;0
73;-222;0
74;-339;0
75;-226;0
76;-407;0
77;-406;0
78;-67;0
79;-8;0
80;-183;0
81;326;0
82;-211;0
83;-292;0
84;811;0
85;254;0
86;-174;0
87;261;0
88;-287;0
89;-64;0
90;655;0
91;-223;0
92;-185;0
93;-384;0
94;705;0
95;634;0
96;738;0
97;-176;0
98;-308;0
99;-127;0
100;599;0
101;770;0
102;-66;0
103;650;0
104;-63;0
105;756;0
106;-65;0
107;-134;0
108;-23;0
109;596;0
110;-127;0
111;-268;0
112;-303;0
113;-130;0
114;615;0
115;625;0
116;-110;0
117;783;0
118;620;0
119;-147;0
120;-122;0
121;-120;0
122;-180;0
123;537;0
124;130;0
125;690;0
126;-75;0
127;-74;0
128;-106;0
129;117;0
130;841;0
131;707;0
132;-123;0
133;-60;0
134;-35;0
135;-333;0
136;92;0
137;646;0
138;1;0
139;786;0
140;698;0
141;664;0
142;-37;0
143;-172;0
144;452;0
145;-108;0
146;939;0
147;734;0
148;-179;0
149;563;0
150;10;0
151;-262;0
152;648;0
153;-162;0
154;-158;0
155;688;0
156;-143;0
157;492;0
158;522;0
159;603;0
160;-31;0
161;60;0
162;573;0
163;573;0
164;236;0
165;34;0
166;102;0
167;61;0
168;-121;0
169;-120;0
170;-23;0
171;608;0
172;572;0
173;514;0
174;-63;0
175;680;0
176;-295;0
177;598;0
178;-75;0
179;665;0
180;725;0
181;659;0
182;-136;0
183;727;0
184;871;0
185;-19;0
186;815;0
187;760;0
188;885;0
189;520;0
190;-143;0
191;1;0
192;757;0
193;-52;0
194;15;0
195;1109;0
196;966;0
197;1045;0
198;-233;0
199;857;0
200;935;0
201;907;0
202;943;0
203;984;0
204;-274;0
205;889;0
206;127;0
207;-279;0
208;-206;0
209;-189;0
210;-177;0
211;874;0
212;997;0
213;1168;0
214;1176;0
215;-315;0
216;1063;0
217;1008;0
218;-557;0
219;-303;0
220;-131;0
221;-399;0
222;-539;0
223;-482;0
224;-38;0
225;-314;0
226;-316;0
227;383;0
228;515;0
229;554;0
230;-68;0
231;516;0
232;633;0
233;832;0
234;-3;0
235;-219;0
236;-301;0
237;-308;0
238;-188;0
239;-220;0
240;-323;0
241;-283;0
242;-456;0
243;-414;0
244;-442;0
245;697;0
246;644;0
247;-219;0
248;-454;0
249;-454;0
250;-457;0
251;171;0
252;-216;0
253;-205;0
254;-238;0
255;-251;0
256;675;0
257;833;0
258;206;0
